Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505997081,0.485804391,0.429949894,0.407981131,0.383292096,0.410021828,0.40514984,0.402215827,0.401381979,0.391652043,0.386673058,0.39375576,0.405233924,0.380728531,0.440397943,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,15.9675488,15.61987085,14.23122667,15.56917302,19.19521039,19.16357211,18.7106393,18.70697175,17.62461723,15.63643686,15.79293687,13.24596689,12.79453571,12.32642044,12.00062681,12.51299087,13.14586515,13.26471293,12.31271523,12.5789843,12.5381709,12.76570176,10.99517926,9.846823029,9.777860752,10.01911302,10.96757065,12.21844097,12.44960092,10.85254938,10.06401672,10.80962359,11.13997234,11.91545015,12.76239434,12.84724413,12.54502722,11.9876753,12.50232527,14.66569782,
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,26.82060011,
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,15.77791381,16.98863999,18.66153009,21.13632056,21.22448444,22.64449033,24.72943311,26.36778114,25.56552841,24.6123804,24.92101252,24.72322303,24.50224187,25.17041689,25.36297629,24.41170399,24.78283229,25.33044097,24.10131476,21.21770129,23.28009752,30.22493237,28.12796839,24.12711905,24.21023647,23.0883771,22.80764428,23.42128127,24.21106078,22.67206941,21.17716596,21.08040118,20.12676325,19.65274166,20.59010572,21.00621805,20.80528924,20.93140611,21.25716075,23.00483085,
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.653213722,7.026869166,9.002017942,12.91118241,6.290256828,5.664689564,8.156377022,5.839549975,6.198384339,6.250876536,5.060402948,5.191280189,5.242278337,4.805339317,6.62119707,6.180293181,5.845680969,6.069630075,6.50749254,7.547056779,9.122534471,9.831168609,10.01699591,8.607741762,6.660703804,9.492693242,
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.41086377,31.54344388,28.78565044,25.91874552,24.51541204,22.7161642,22.02511409,21.97825708,20.53748631,18.84530872,17.70835362,17.15361957,16.83705384,16.7943836,17.9558664,18.2267896,18.76680189,19.56515781,19.99018136,19.78021442,19.84999447,19.02214885,18.42947925,18.39124351,19.12196261,
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,14.51176266,14.15068808,14.488898,13.77130385,13.63603128,12.23604777,7.697307639,7.907399412,7.367923538,7.068665165,7.092604176,5.613126763,4.607330899,5.024377871,5.986185605,6.66976878,7.197173349,8.263136574,9.922210961,10.62024446,10.50707906,10.55475831,9.130332861,9.710068771,9.127680499,9.165147745,10.11827092,10.27075019,10.35503992,9.777542023,11.12164963,9.700149904,8.649374304,9.299826734,9.362564381,8.983736222,8.064076561,7.08487314,6.957606927,6.789957914,6.158869017,7.662533001,6.877555656,5.201426078,4.596104953,4.666267993,4.902509231,5.464032551,5.277080784,4.758817419,4.448360535,4.653010679,5.586995002,
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,0.540188294,0.545088281,0.485156878,0.629067481,0.547223178,0.490602457,0.548306765,0.640366458,0.730600582,0.84247151,0.925826535,1.184524144,1.143229342,1.197735192,1.193025792,1.058428475,1.297768008,1.378621078,1.480901077,1.830425017,1.787068305,1.792431872,2.004021865,2.180890491,2.333245197,2.262650093,2.238200162,2.203322589,1.927683933,1.665361909,1.395409874,1.094244002,0.976671168,0.827305464,1.036886889,0.763452742,0.671910149,0.638882185,0.643763044,0.639504607,0.740999247,0.776054568,0.77054734,0.718738961,0.747177528,0.918609463,
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,12.90416299,10.27875747,9.980386317,9.721276985,9.185809648,9.637560964,10.86588238,10.98486987,11.95252249,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.136826482,5.082668,5.351464616,5.610866113,5.221972109,5.25272257,4.457826102,4.679910944,4.568589609,10.20664671,10.32816694,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.231622377,4.537878897,5.111016511,5.932404494,
