Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,3.218105862,3.276015481,3.455534508,3.32776193,3.340065449,3.380668205,3.861084248,3.562915402,3.907034409,4.081002194,4.198215517,4.287418781,4.380677745,4.810754088,4.925786987,5.059176662,5.396307466,5.49994544,5.413779184,5.734213691,6.454160728,5.657744868,5.871982288,5.222426693,6.286764336,6.150510881,5.651898068,6.661413674,5.708952542,5.579159719,6.786989873,7.552256891,7.030185199,8.269086915,8.455849986,9.266729406,9.487864734,10.16905147,10.38229951,10.90700095,12.09472372,12.41141485,13.65187554,13.45000896,13.96486844,14.14857736,14.02389655,14.13683545,14.45430222,13.85510002,14.82930157,0.193987058,0.207789457,0.21474167,,,,,,,
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,41.43999863,41.77000046,41.58000183,45.09000015,47.20000076,48.93999863,53.61999893,56,56.70000076,51.90999985,48.66999817,51.93000031,55.81999969,57.5,59.13999939,63.81999969,57.29000092,61.61000061,60.86999893,61.22000122,61.06999969,60.5,58.93000031,56.52000046,52.72000122,48.27000046,50,49.41999817,49.18999863,52.97000122,60.79999924,58.93000031,62.18999863,65.76000214,68.68000031,72.29000092,77.38999939,81.62000275,80.69000244,68.62999725,62.36000061,75.66999817,77.75,75.69999695,84.59999847,78.34999847,85.77999878,80.65000153,93.48000336,92.91000366,88.56999969,97.12000275,94.19999695,101.6100006,95.98999786,102.4000015,99.16999817,95.91000366,110.6600037,,
Africa Western and Central,AFW,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,0.037591052,0.039484672,0.04095759,0.042450411,0.043070116,0.0428171,0.045435647,0.045547787,0.048693182,0.050509251,0.049455765,0.045803563,0.046526867,0.051304393,0.051056757,0.049550872,0.04846951,0.049964194,0.050419825,0.0521217,0.053802807,0.05457701,0.054156439,0.056554941,0.059978042,0.063301222,0.06356369,0.069657021,0.073859851,0.075383744,0.085022684,0.088040692,0.092249307,0.09505101,0.09968662,0.104409601,0.10662653,0.113822948,0.11920543,0.119237217,0.121713415,0.126672365,0.133503304,0.138493925,0.147625532,0.154502665,0.149988586,0.164041665,0.156937776,0.173405122,0.167164995,0.181952662,0.181735043,0.195361278,,,,,,,
Angola,AGO,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,14.64999962,15.17000008,15.52000046,16.22999954,16.77000046,17.02000046,17.48999977,17.53000069,18.47999954,19.38999939,19.48999977,19,19.93000031,19.31999969,19.13999939,18.87000084,18.43000031,18.48999977,17.94000053,18.19000053,17.81999969,18.10000038,18.39999962,18.65999985,18.96999931,19.67000008,19.92000008,19.82999992,19.82999992,19.92000008,20.80999947,22.26000023,22.09000015,24.87999916,24.03000069,25.82999992,25.76000023,29.93000031,28.76000023,33.59000015,38.63999939,43.77999878,47.20999908,50.97999954,55.58000183,56.54999924,64.12999725,68.26999664,85.33999634,90.27999878,98.59999847,81.11000061,110.6999969,97.37999725,100.3000031,102.3099976,103.4199982,107.3799973,110.1600037,,
Albania,ALB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,21.35000038,21.94000053,20.71999931,23.37000084,22.23999977,25.46999931,27.29000092,28.02000046,28.35000038,29.10000038,30.17000008,30.69000053,32.86999893,33.83000183,34.43000031,38.09999847,39.79999924,41.54000092,42.27999878,41.43999863,43.09000015,44.47999954,48.45000076,44.95999908,44.33000183,44.06000137,45.58000183,44.31999969,49.40999985,48.66999817,41.34000015,45.59000015,51.52000046,57.27000046,61.59000015,62.08000183,58.79999924,61.36999893,60.75999832,64,65.87999725,66.37999725,69.56999969,72.87999725,71.63999939,74.41000366,75.44000244,77.73000336,80.51000214,85.65000153,89.90000153,95.05999756,95.63999939,96.83999634,100.0400009,103.1200027,103.9800034,105.7699966,102.6600037,,
Andorra,AND,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,3.196837138,3.256673313,3.435796515,3.307880695,3.321321216,3.357045135,3.83416302,3.54037115,3.880460672,4.051316966,4.16972502,4.25697399,4.349897473,4.779692063,4.895729372,5.028483026,5.361847546,5.467249417,5.383565527,5.707140179,6.422232387,5.6299454,5.845830507,5.198073606,6.26407601,6.12991977,5.630947864,6.640458884,5.68689938,5.562614009,6.76931161,7.540081377,7.042607205,8.917633596,9.202877211,10.06973681,10.20236524,10.95460232,11.09570354,11.82635061,12.83980151,13.38516039,14.49109513,14.363258,14.8206016,15.06742402,14.80133189,14.97526272,15.23065883,14.49541237,15.49468652,1.043046329,1.001532154,1.053727753,,,,,,,
United Arab Emirates,ARE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,4.630000114,4.699999809,4.849999905,5.039999962,5.150000095,5.300000191,5.449999809,5.679999828,6.010000229,6.429999828,6.769999981,6.590000153,7.440000057,8.520000458,8.350000381,7.679999828,9.159999847,11.89999962,13.53999996,15.96000004,17.55999947,22.17000008,25.31999969,23.93000031,24.78000069,25.87000084,25.76000023,31.93000031,35.90000153,37.43999863,44.99000168,55.95999908,59.36999893,63.56999969,72.33999634,78.65000153,94.69999695,96.55999756,146.0700073,186.8399963,123.1699982,120.9700012,112.2799988,120.8700027,122.8099976,112.8600006,112.4499969,122.3000031,121.2300034,131.8200073,77.08999634,77.31999969,78.37000275,93.30999756,98.76000214,107.9300003,104.1800003,110.1800003,111.7399979,,
Argentina,ARG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,31.46999931,33.25999832,36.27000046,33.70999908,31.98999977,35.59999847,39.02000046,37,39.88000107,38.93999863,36.38000107,36.24000168,37.75,39.90999985,40.79999924,45.11999893,44.84000015,48.16999817,48.59000015,44.63999939,48.25,49.15000153,47.83000183,49.15000153,50.13999939,51.47999954,48.70000076,49.65999985,46.16999817,51.27999878,52.79999924,53.02999878,53.09000015,55.79000092,59.13000107,57.25999832,62.11999893,66.91000366,68.59999847,69.22000122,69.43000031,69.05999756,71.69999695,73.26000214,83.30000305,82.23000336,90.08000183,91.33999634,76.26999664,87.95999908,92.73000336,86.16999817,93.97000122,95.16999817,104.0500031,100.7900009,105.9400024,97.19000244,112.7900009,,
