Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000878297,0.000734404,0.000575272,0.000491427,0.001552095,0.001633733,0.001379482,0.000925463,0.000937353,0.00116676,0.000819359,0.001002439,0.000848487,0.000717946,0.000703182,0.000712137,0.000657229,0.00069997,0.000685497,0.0006534,0.000940949,0.000918692,0.000949223,0.000967668,0.002361284,0.001948056,0.001972589,0.00225777,0.003265236,0.002423296,0.003363897,0.002860261,,,,
Africa Eastern and Southern,AFE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,5.564501252,4.478680922,4.252699162,5.938981157,6.750737996,5.540569374,6.012023956,6.495857173,5.738447267,7.82182597,12.15549854,9.774176497,9.861146791,8.471331033,6.317902369,8.623777276,7.464451416,7.032472425,8.169927282,8.39845519,8.109211645,7.028203556,6.859413432,6.107768533,6.815341596,7.243221788,7.973268353,6.683220708,5.938709472,4.872998729,6.446972176,6.84386166,7.26576386,6.83266389,8.613254456,9.644889331,10.85591459,12.82502374,19.20942663,10.17232723,12.06208576,13.97468867,11.35410849,10.7729013,9.298311352,6.287487035,6.736101463,7.570296921,7.234045066,6.046573212,,
Afghanistan,AFG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.302881585,0.373956335,0.435262391,0.871483242,1.152719466,1.640526354,1.892310788,1.798912301,1.632851686,2.250358937,2.583876013,2.075059165,,,,,,,,,,,,,,,,,,,,,1.023570222,0.710009344,0.44003058,0.3817198,0.50226549,0.449365386,0.611295447,0.418062902,0.609980533,0.879277901,0.702276007,0.54588231,0.544477424,0.495307093,0.677458944,0.696790427,0.915366189,0.773957273,,
Africa Western and Central,AFW,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,2.994569577,3.355866275,3.140401676,5.191092127,23.07490401,17.80645431,16.21208858,19.72670794,16.70561124,33.73956309,19.54603556,4.591735933,3.556173511,5.972536643,10.16327646,10.27372628,6.394217947,9.495651918,8.434374226,15.34230352,17.35971281,11.80551418,13.43263878,15.02139247,14.85802643,15.17280621,15.9028901,13.95561472,8.637087916,9.973709277,17.61539144,12.23152753,10.24111286,11.24510938,14.10319288,17.55395798,17.70471265,16.62910291,19.02750166,11.90185073,14.90135694,19.2555551,17.39357968,13.55988792,11.63250112,6.477577499,6.416895851,9.516129334,11.13214956,8.946825182,,
Angola,AGO,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,20.57787373,10.72234006,5.191673079,10.88773871,16.83710102,15.18113138,7.482099187,17.32087541,15.78739746,23.24997448,28.95861914,17.33138276,28.03965877,33.785017,39.42913587,42.40854253,46.00789611,39.3320636,18.52994657,40.04539419,55.45007279,38.43442666,27.69338684,24.04876527,40.19370009,45.82718464,43.49004533,46.27901193,55.85217033,30.73249868,40.14246391,41.15369433,36.22851635,30.81602521,23.67103715,10.80155578,10.85711419,16.45241141,27.42822035,26.19426737,,
Albania,ALB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,16.19357486,16.50765137,7.699038795,10.70181715,11.09210971,13.56808584,11.0420086,10.48947428,11.46893927,3.014731405,1.625175957,1.296536422,1.25275915,1.35697405,0.321535422,0.531577111,1.09796102,0.755950478,0.76079824,0.733194369,0.770849476,1.018382373,1.321831442,1.761086092,1.10999895,0.605979694,1.57450583,3.178895493,3.377276961,2.947406347,3.075781739,1.621620436,1.333386872,1.357555735,1.818064699,1.591731888,,
Andorra,AND,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Arab World,ARB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,13.25430135,14.86449416,17.1701183,22.21109688,49.49678815,39.9989624,39.86319768,38.53283637,34.44995335,58.16020013,51.93544626,38.53493889,24.94206147,24.68951803,24.16998318,21.31157602,13.84912061,17.99331834,17.11282074,24.20345085,24.75064796,20.77441267,21.43073432,20.89317068,19.29844404,19.83544706,22.55206781,19.51129239,12.8297794,16.75784113,26.11942822,21.00832857,20.35537598,23.19996477,28.48870528,35.52079051,35.75198957,32.4934672,38.17199887,24.89866675,29.32987497,36.34643892,35.42748391,32.30236193,28.63456627,17.00245393,14.00838497,17.92452739,22.88171243,20.31668446,,
United Arab Emirates,ARE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,41.70235959,40.79115292,35.1391919,34.36860939,60.45421716,46.91134058,31.55097088,22.4465526,23.25318646,23.37862444,24.30586749,16.52575895,24.20086536,20.46540619,29.65264349,36.71869983,24.91475783,23.47756127,20.75296067,17.99088658,18.00196318,20.55364013,17.80083568,11.84787398,14.68478708,21.90076447,17.20269082,15.49325698,17.87454318,20.87072816,25.88245834,26.1659372,23.9858608,28.41339857,19.23568093,22.65124301,30.0976913,29.88362697,27.12999506,24.24404646,14.05058311,11.34571449,13.60599291,17.32477033,16.75662049,,
Argentina,ARG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.39712755,0.529178082,0.59300691,0.637868248,1.901181662,2.441226038,2.711778693,2.302502627,2.534692776,5.495651469,6.390148187,5.296066595,3.167532805,3.387782952,4.14942095,3.44972104,1.307612326,1.881547068,1.544271346,3.642357451,2.587266694,1.186564095,1.165310967,1.166918037,1.048337562,1.26936337,1.630527564,1.444969061,0.824825665,1.365099038,2.289973591,1.934761012,5.829834452,5.133473873,4.958780527,5.760672106,6.135958797,4.995812922,5.038827371,3.069357206,3.329394894,3.708190851,3.40459291,3.000047416,2.733557678,1.081226358,0.936007816,1.126360021,2.129515087,2.071184086,,
