,Country Name,Country Code,year,agriculturalLand,agriculturalGDP
0,Benin,BEN,1961,12.78822277,46.19378573
1,Burkina Faso,BFA,1961,29.74780702,38.30700833
2,Bangladesh,BGD,1961,72.82784052,57.98823595
3,Brazil,BRA,1961,18.77917814,15.07757455
4,Botswana,BWA,1961,45.87722549,41.92589506
5,Chile,CHL,1961,18.00326012,10.1022751
6,China,CHN,1961,36.4200452,35.79485515
7,Cote d'Ivoire,CIV,1961,49.3081761,46.40683488
8,"Congo, Rep.",COG,1961,30.86383602,20.49180087
9,Costa Rica,CRI,1961,27.32079906,25.86624173
10,East Asia & Pacific (excluding high income),EAP,1961,35.72744105,39.72032069
11,East Asia & Pacific,EAS,1961,43.82923333,28.90112518
12,Ecuador,ECU,1961,17.01343736,34.03539833
13,"Egypt, Arab Rep.",EGY,1961,2.579737807,27.15307948
14,France,FRA,1961,63.07732766,9.079271295
15,Gabon,GAB,1961,20.16144681,35.211844
16,Ghana,GHA,1961,51.41953063,35.37634409
17,Guyana,GUY,1961,6.908647247,23.85436284
18,Honduras,HND,1961,26.63330056,35.26108928
19,IBRD only,IBD,1961,34.83869086,27.83260279
20,IDA & IBRD total,IBT,1961,34.901139,30.43051422
21,India,IND,1961,58.84319536,40.38740161
22,"Iran, Islamic Rep.",IRN,1961,36.39026008,24.90256843
23,Kenya,KEN,1961,44.27733071,34.07310224
24,"Korea, Rep.",KOR,1961,21.90545304,38.68209089
25,Sri Lanka,LKA,1961,27.47568171,32.90995044
26,Low & middle income,LMY,1961,34.93629148,31.72505606
27,Lesotho,LSO,1961,85.01317523,89.4145098
28,Middle income,MIC,1961,34.59691762,31.50477965
29,Mauritania,MRT,1961,38.3448142,33.47136147
30,Malawi,MWI,1961,33.941451,48.59663192
31,Malaysia,MYS,1961,9.388951453,45.38215218
32,Niger,NER,1961,24.86776664,73.88716501
33,Oman,OMN,1961,3.344103393,74.23312883
34,Pakistan,PAK,1961,46.3496264,41.72742569
35,Peru,PER,1961,13.246875,19.15635254
36,Philippines,PHL,1961,25.85998793,23.64538166
37,Papua New Guinea,PNG,1961,1.093053041,49.03934126
38,South Asia,SAS,1961,55.12828586,42.60023747
39,Senegal,SEN,1961,44.91248117,23.68080626
40,Singapore,SGP,1961,20.89552239,3.511769983
41,Somalia,SOM,1961,69.98597252,64.16365413
42,Suriname,SUR,1961,0.262820513,9.285051068
43,Eswatini,SWZ,1961,85.34883721,30.26073036
44,Chad,TCD,1961,38.01587302,38.73780358
45,East Asia & Pacific (IDA & IBRD countries),TEA,1961,35.84897696,39.65521006
46,Togo,TGO,1961,56.4441993,55.1612753
47,Thailand,THA,1961,22.80921529,35.83823047
48,South Asia (IDA & IBRD),TSA,1961,55.12828586,42.60023747
49,Turkey,TUR,1961,47.44747476,51.73852573
50,Uganda,UGA,1961,45.13287623,49.92284207
51,South Africa,ZAF,1961,83.53460996,11.00965759
52,Zambia,ZMB,1961,25.97156271,12.76159212
53,Benin,BEN,1962,12.96559063,44.70927268
54,Burkina Faso,BFA,1962,29.78435673,37.85878292
55,Bangladesh,BGD,1962,72.80479373,57.01857402
56,Brazil,BRA,1962,19.22269787,16.09562215
57,Botswana,BWA,1962,45.87722549,40.67604614
58,Chile,CHL,1962,18.23189856,9.201911166
59,China,CHN,1962,36.71214999,38.98640509
60,Cote d'Ivoire,CIV,1962,49.93710692,45.90405268
61,"Congo, Rep.",COG,1962,30.86383602,19.80472225
62,Costa Rica,CRI,1962,27.61457109,25.8268969
63,East Asia & Pacific (excluding high income),EAP,1962,35.93334131,43.04672283
64,East Asia & Pacific,EAS,1962,44.05251431,28.16689554
65,Ecuador,ECU,1962,17.01343736,35.25290294
66,"Egypt, Arab Rep.",EGY,1962,2.516449847,24.62782577
67,France,FRA,1962,62.89652754,9.832003655
68,Gabon,GAB,1962,20.21966081,35.88546586
69,Ghana,GHA,1962,51.41953063,37.89260385
70,Guyana,GUY,1962,6.908647247,23.45900658
71,Honduras,HND,1962,26.72267405,35.39651838
72,IBRD only,IBD,1962,34.98085294,27.84217149
73,IDA & IBRD total,IBT,1962,35.03041399,30.29137394
74,India,IND,1962,59.35779415,38.3713352
75,"Iran, Islamic Rep.",IRN,1962,36.40192539,23.82749641
76,Kenya,KEN,1962,44.28611589,37.57419488
77,"Korea, Rep.",KOR,1962,21.57370931,36.63423167
78,Sri Lanka,LKA,1962,27.22053899,31.09252254
79,Low & middle income,LMY,1962,35.07162177,31.75986802
80,Lesotho,LSO,1962,84.84848485,88.18494983
81,Middle income,MIC,1962,34.74694211,31.64844087
82,Mauritania,MRT,1962,38.3448142,32.7253038
83,Malawi,MWI,1962,35.00212134,48.62385321
84,Malaysia,MYS,1962,9.590473292,42.96866166
85,Niger,NER,1962,24.86776664,75.99760963
86,Oman,OMN,1962,3.344103393,61.19402985
87,Pakistan,PAK,1962,46.49232046,40.02923264
88,Peru,PER,1962,13.35859375,18.16816283
89,Philippines,PHL,1962,26.12485751,23.80502357
90,Papua New Guinea,PNG,1962,1.093053041,47.38421955
91,Paraguay,PRY,1962,26.48376542,37.00272839
92,South Asia,SAS,1962,55.48039021,40.70537171
93,Senegal,SEN,1962,44.91248117,22.54462733
94,Singapore,SGP,1962,20.89552239,3.589926067
95,Somalia,SOM,1962,69.99394268,64.94705891
96,Suriname,SUR,1962,0.269230769,8.78174774
97,Eswatini,SWZ,1962,85.93023256,34.75005868
98,Chad,TCD,1962,38.01587302,38.47377093
99,East Asia & Pacific (IDA & IBRD countries),TEA,1962,36.0564443,42.97615948
100,Togo,TGO,1962,56.4441993,53.39504558
101,Thailand,THA,1962,23.44927479,34.00270049
102,South Asia (IDA & IBRD),TSA,1962,55.48039021,40.70537171
103,Turkey,TUR,1962,47.61768642,52.80199253
104,Uganda,UGA,1962,45.61333267,49.18082538
105,South Africa,ZAF,1962,82.54540059,10.57660626
106,Zambia,ZMB,1962,26.04285772,12.34542457
107,Benin,BEN,1963,13.1429585,43.71836971
108,Burkina Faso,BFA,1963,29.82090643,38.49363408
109,Bangladesh,BGD,1963,72.82784052,57.14666817
110,Brazil,BRA,1963,19.6662176,14.9527276
111,Botswana,BWA,1963,45.87722549,39.7267916
112,Chile,CHL,1963,18.460537,7.937608319
113,China,CHN,1963,37.01486519,39.85420171
114,Cote d'Ivoire,CIV,1963,49.93710692,44.16710415
115,"Congo, Rep.",COG,1963,30.86969253,20.95408198
116,Costa Rica,CRI,1963,27.81041911,24.46389466
117,East Asia & Pacific (excluding high income),EAP,1963,36.15225185,43.45982219
118,East Asia & Pacific,EAS,1963,44.30742012,28.22769226
119,Ecuador,ECU,1963,17.04955931,34.19574995
120,"Egypt, Arab Rep.",EGY,1963,2.501381285,24.42186213
121,Fiji,FJI,1963,12.47947455,37.84046693
122,France,FRA,1963,62.73946885,8.828416465
123,Gabon,GAB,1963,20.2778748,44.08357341
124,Ghana,GHA,1963,51.41953063,35.90909091
125,Guyana,GUY,1963,6.908647247,24.46067043
126,Honduras,HND,1963,26.7673608,34.41004388
127,IBRD only,IBD,1963,35.10765373,29.17054986
128,IDA & IBRD total,IBT,1963,35.17593762,31.18904203
129,India,IND,1963,59.24747493,39.31975131
130,"Iran, Islamic Rep.",IRN,1963,36.43876323,22.25721814
131,Kenya,KEN,1963,44.29490108,38.44981142
132,"Korea, Rep.",KOR,1963,21.77068215,43.10371427
133,Sri Lanka,LKA,1963,32.84962526,32.34974143
134,Low & middle income,LMY,1963,35.22357971,32.70495932
135,Lesotho,LSO,1963,84.84848485,83.78125
136,Middle income,MIC,1963,34.92173104,32.98540845
137,Mauritania,MRT,1963,38.34578442,33.07536266
138,Malawi,MWI,1963,35.53245651,49.2296405
139,Malaysia,MYS,1963,9.970689393,35.12365305
140,Niger,NER,1963,24.86776664,72.94795443
141,Oman,OMN,1963,3.344103393,60.28037383
142,Pakistan,PAK,1963,46.54420922,38.84001451
143,Peru,PER,1963,13.6171875,17.08367166
144,Philippines,PHL,1963,26.39307986,24.40456161
145,Papua New Guinea,PNG,1963,1.093053041,44.03409091
146,Puerto Rico,PRI,1963,68.20744081,8.994686322
147,Paraguay,PRY,1963,26.7807702,38.19771769
148,South Asia,SAS,1963,55.50716939,41.35440374
149,Senegal,SEN,1963,45.43188075,23.29377695
150,Singapore,SGP,1963,19.40298507,3.250266999
151,Somalia,SOM,1963,70.00191284,64.03267113
152,Suriname,SUR,1963,0.262820513,8.773322747
153,Eswatini,SWZ,1963,85.69767442,38.79587936
154,Chad,TCD,1963,38.01587302,38.02698412
