,Country Name,Country Code,year,agriculturalLand,agriculturalMachinery
0,Africa Eastern and Southern,AFE,1961,43.67267864,29.46272372
1,Afghanistan,AFG,1961,57.74591796,0.156862745
2,Africa Western and Central,AFW,1961,33.44175478,0.436556992
3,Angola,AGO,1961,45.85706265,2.996254682
4,Albania,ALB,1961,44.96350365,67.12962963
5,Arab World,ARB,1961,27.83564273,20.37063314
6,United Arab Emirates,ARE,1961,2.928752464,244.0
7,Argentina,ARG,1961,50.3633952,64.52653654
8,American Samoa,ASM,1961,15.0,30.0
9,Antigua and Barbuda,ATG,1961,22.72727273,202.5
10,Australia,AUS,1961,61.76333188,183.6543555
11,Austria,AUT,1961,43.05400823,792.0248668
12,Burundi,BDI,1961,61.3317757,0.02962963
13,Belgium,BEL,1961,55.17976843,485.6504469
14,Benin,BEN,1961,12.78822277,0.695652174
15,Burkina Faso,BFA,1961,29.74780702,0.13653484
16,Bangladesh,BGD,1961,72.82784052,0.871586287
17,Bulgaria,BGR,1961,51.27903824,65.14816557
18,"Bahamas, The",BHS,1961,0.999000999,41.42857143
19,Belize,BLZ,1961,3.463393249,58.61111111
20,Bermuda,BMU,1961,7.407407407,1000.0
21,Bolivia,BOL,1961,27.73193021,10.04636785
22,Brazil,BRA,1961,18.77917814,30.47232098
23,Barbados,BRB,1961,44.18604651,181.25
24,Brunei Darussalam,BRN,1961,3.984819734,12.5
25,Botswana,BWA,1961,45.87722549,13.78446115
26,Central African Republic,CAF,1961,7.60538059,0.089285714
27,Canada,CAN,1961,6.897817098,150.1745425
28,Switzerland,CHE,1961,43.92582473,1353.193638
29,Chile,CHL,1961,18.00326012,92.17032967
30,China,CHN,1961,36.4200452,5.093087807
31,Cote d'Ivoire,CIV,1961,49.3081761,0.464285714
32,Cameroon,CMR,1961,15.88711895,0.062
33,"Congo, Dem. Rep.",COD,1961,11.04960191,1.0
34,"Congo, Rep.",COG,1961,30.86383602,2.903846154
35,Colombia,COL,1961,36.02523659,51.64496036
36,Cabo Verde,CPV,1961,16.12903226,0.526315789
37,Costa Rica,CRI,1961,27.32079906,133.3333333
38,Caribbean small states,CSS,1961,5.518774704,115.9629101
39,Cuba,CUB,1961,33.05400372,75.86206897
40,Cyprus,CYP,1961,43.72294372,87.53799392
41,Germany,DEU,1961,55.49508779,841.1489362
42,Djibouti,DJI,1961,56.12597066,40.0
43,Dominica,DMA,1961,22.66666667,40.0
44,Denmark,DNK,1961,74.58107151,459.0844318
45,Dominican Republic,DOM,1961,45.33222935,24.58333333
46,Algeria,DZA,1961,19.09150453,41.71817058
47,East Asia & Pacific (excluding high income),EAP,1961,35.72744105,5.633500161
48,Early-demographic dividend,EAR,1961,36.01038942,13.33974663
49,East Asia & Pacific,EAS,1961,43.82923333,24.06143068
50,Ecuador,ECU,1961,17.01343736,9.137829912
