,Country Name,Country Code,year,annualFreshwater,arableLand,foodProductionIndex,agriculturalGDP,name,region,sub-region,AgriculturalLand,GDP,aGDP
0,Denmark,DNK,1972,0.914,0.531092661,67.30999756,4.785831206,Denmark,Europe,Northern Europe,69.76634411,23232379952.0,111186248963.93039
1,Denmark,DNK,1977,1.205,0.518235625,74.80000305,4.66357991,Denmark,Europe,Northern Europe,69.08189757,49784338519.0,232173240949.84756
2,Denmark,DNK,1982,1.405,0.513891684,83.26999664,4.652489075,Denmark,Europe,Northern Europe,68.12175555,60412844679.0,281070099858.71936
3,Denmark,DNK,1987,1.338333333,0.502825811,85.58999634,3.451513146,Denmark,Europe,Northern Europe,66.00613352,109414000000.0,377643859356.444
4,Denmark,DNK,1992,1.189359481,0.490972412,89.08999634,2.791784298,Denmark,Europe,Northern Europe,64.95404195,152916000000.0,426908487712.968
5,Denmark,DNK,1997,0.9175,0.447493666,96.29000092,2.637124679,Denmark,Europe,Northern Europe,63.35140231,173538000000.0,457641342544.30194
6,Denmark,DNK,2002,0.6534,0.423368529,97.48999786,1.781116432,Denmark,Europe,Northern Europe,62.80933302,178635000000.0,318169733830.32
7,Denmark,DNK,2007,0.5554,0.422233119,97.19000244,1.174415576,Denmark,Europe,Northern Europe,62.76219656,319423000000.0,375135346532.64795
8,Denmark,DNK,2012,0.7285,0.432436531,98.73999786,1.65472753,Denmark,Europe,Northern Europe,65.6,327149000000.0,541342456711.97
9,Denmark,DNK,2017,0.7411,0.411164479,102.1100006,1.30480036,Denmark,Europe,Northern Europe,65.782225,332121000000.0,433351600363.56
10,Ghana,GHA,1972,0.345466667,0.184189199,24.36000061,46.64298401,Ghana,Africa,Sub-Saharan Africa,51.41953063,2112292945.0,98523646058.0708
11,Ghana,GHA,1977,0.459133333,0.173152627,20.34000015,56.20352952,Ghana,Africa,Sub-Saharan Africa,52.29849697,3189428571.0,179257142842.1299
12,Ghana,GHA,1982,0.5728,0.179843362,19.30999947,57.34115279,Ghana,Africa,Sub-Saharan Africa,53.61694647,4035994398.0,231428571435.3021
13,Ghana,GHA,1987,0.686466667,0.18447433,26.85000038,50.60053619,Ghana,Africa,Sub-Saharan Africa,54.49591281,5074829932.0,256789115632.26123
14,Ghana,GHA,1992,0.800133333,0.178875506,35.31000137,44.77905722,Ghana,Africa,Sub-Saharan Africa,55.90225894,6413901602.0,287208466839.40765
15,Ghana,GHA,1997,0.9138,0.201016507,44.81999969,35.78159763,Ghana,Africa,Sub-Saharan Africa,59.89276611,6891308594.0,246582031254.66904
16,Ghana,GHA,2002,1.03625,0.206506093,60.04999924,35.14837706,Ghana,Africa,Sub-Saharan Africa,61.9079107,6166330136.0,216736496696.5691
17,Ghana,GHA,2007,1.171875,0.187250048,66.66000366,27.29411448,Ghana,Africa,Sub-Saharan Africa,63.89806627,24827844950.0,677654042356.9899
18,Ghana,GHA,2012,1.3155,0.180793888,92.22000122,22.13115469,Ghana,Africa,Sub-Saharan Africa,65.20201283,41270954737.0,913373883488.5353
19,Ghana,GHA,2017,1.4486,0.161392985,108.1800003,19.56170972,Ghana,Africa,Sub-Saharan Africa,64.99938472,60406382899.0,1181652127505.4102
20,Uganda,UGA,1972,0.20864,0.387727898,68.91999817,54.49765258,Uganda,Africa,Sub-Saharan Africa,50.54802062,1491596639.0,81288515421.71768
21,Uganda,UGA,1977,0.23024,0.35386887,76.62000275,73.28725962,Uganda,Africa,Sub-Saharan Africa,52.7401031,2936470588.0,215205882349.25006
22,Uganda,UGA,1982,0.25184,0.316139982,64.70999908,50.24110218,Uganda,Africa,Sub-Saharan Africa,54.25153896,2177500000.0,109399999996.95
23,Uganda,UGA,1987,0.27344,0.320250995,68.54000092,54.75449753,Uganda,Africa,Sub-Saharan Africa,59.14118412,6269511615.0,343283958237.82385
24,Uganda,UGA,1992,0.29504,0.271527322,82.86000061,48.20294349,Uganda,Africa,Sub-Saharan Africa,60.31730144,2857457860.0,137737879750.63635
25,Uganda,UGA,1997,0.31664,0.233660051,89.06999969,38.11995975,Uganda,Africa,Sub-Saharan Africa,60.91787198,6269333313.0,238986733550.89413
26,Uganda,UGA,2002,0.36155,0.222511301,112.5899963,23.433428,Uganda,Africa,Sub-Saharan Africa,64.12091487,6178563591.0,144784925053.11993
27,Uganda,UGA,2007,0.591091667,0.211962592,120.0299988,22.27811368,Uganda,Africa,Sub-Saharan Africa,68.38246334,11902564401.0,265166682808.9991
28,Uganda,UGA,2012,0.637,0.199660288,98.40000153,26.93267196,Uganda,Africa,Sub-Saharan Africa,71.88809096,27305915761.0,735421271758.4067
29,Uganda,UGA,2017,0.637,0.167611656,97.79000092,23.45883538,Uganda,Africa,Sub-Saharan Africa,71.88809096,30744473912.0,721229552346.3126
30,Argentina,ARG,1977,27.65157895,0.97519271,44.84000015,8.087142114,Argentina,Americas,Latin America and the Caribbean,46.91726136,56781000101.0,459196017191.8354
31,Argentina,ARG,1982,27.90947368,0.937677442,49.15000153,9.596156046,Argentina,Americas,Latin America and the Caribbean,47.05282659,84307486837.0,809027799533.943
32,Argentina,ARG,1987,28.16736842,0.859403758,48.70000076,8.094358464,Argentina,Americas,Latin America and the Caribbean,46.7495405,111106000000.0,899331791501.1841
33,Argentina,ARG,1992,28.42456316,0.798853064,53.02999878,5.990787091,Argentina,Americas,Latin America and the Caribbean,46.682306,228789000000.0,1370626187762.7988
34,Argentina,ARG,1997,29.29427,0.766179556,62.11999893,5.221972109,Argentina,Americas,Latin America and the Caribbean,46.85770036,292859000000.0,1529301529869.631
35,Argentina,ARG,2002,31.69792045,0.739403164,69.05999756,10.20664671,Argentina,Americas,Latin America and the Caribbean,47.0312677,97724004252.0,997434386486.7018
36,Argentina,ARG,2007,35.02590909,0.918070805,90.08000183,7.452353946,Argentina,Americas,Latin America and the Caribbean,52.63036734,287531000000.0,2142782782447.326
37,Argentina,ARG,2012,37.69,0.952573308,86.16999817,5.781744207,Argentina,Americas,Latin America and the Caribbean,54.53814645,545982000000.0,3156728265626.274
38,Argentina,ARG,2017,37.69,0.890002684,105.9400024,5.231622377,Argentina,Americas,Latin America and the Caribbean,54.33571212,643629000000.0,3367223878886.133
39,Barbados,BRB,1977,0.0525,0.064274839,139.9600067,9.229922239,Barbados,Americas,Latin America and the Caribbean,44.18604651,495097667.9,4569712975.427246
40,Barbados,BRB,1982,0.06,0.062972788,137.1199951,5.211448099,Barbados,Americas,Latin America and the Caribbean,44.18604651,1163923830.0,6065728631.2343
41,Barbados,BRB,1987,0.0675,0.06201262,128.4799957,5.005834306,Barbados,Americas,Latin America and the Caribbean,44.18604651,1704370308.0,8531795357.914186
42,Barbados,BRB,1992,0.075,0.060861957,116.7699966,3.436382218,Barbados,Americas,Latin America and the Caribbean,44.18604651,1957000000.0,6725000000.625999
43,Barbados,BRB,1997,0.081,0.059660754,127.5199966,2.672636816,Barbados,Americas,Latin America and the Caribbean,44.18604651,2498384130.0,6677273406.348129
44,Barbados,BRB,2002,0.081,0.051202715,107.9599991,1.889586351,Barbados,Americas,Latin America and the Caribbean,39.53488372,3106500000.0,5869999999.3815
45,Cyprus,CYP,1977,0.1638,0.168289205,96.86000061,13.21200322,Cyprus,Asia,Western Asia,19.05844156,734887974.0,9709342278.827276
46,Cyprus,CYP,1982,0.1862,0.166253202,112.7200012,9.269194977,Cyprus,Asia,Western Asia,19.6969697,2159242417.0,20014438965.78174
47,Cyprus,CYP,1987,0.2104,0.142939296,122.3799973,7.431750415,Cyprus,Asia,Western Asia,17.57575758,3704813886.0,27533252134.778263
48,Cyprus,CYP,1992,0.213,0.134397522,130.5299988,5.723677562,Cyprus,Asia,Western Asia,17.27272727,6912150456.0,39562920470.17527
49,Cyprus,CYP,1997,0.181142857,0.110077537,126.1999969,3.920349553,Cyprus,Asia,Western Asia,15.38961039,9547818700.0,37430786772.67004
50,Cyprus,CYP,2002,0.1707,0.102357498,143.2200012,3.788259648,Cyprus,Asia,Western Asia,15.15151515,11420227885.0,43262788467.709885
51,Cyprus,CYP,2007,0.1641,0.103223817,115.8099976,2.02354111,Cyprus,Asia,Western Asia,15.93073593,23968764030.0,48501779370.59428
52,Cyprus,CYP,2012,0.2553,0.07559165,105.4599991,2.006895095,Cyprus,Asia,Western Asia,12.65151515,24978513427.0,50129256077.03794
53,Cyprus,CYP,2017,0.216,0.079962024,104.0,1.858168099,Cyprus,Asia,Western Asia,13.14069264,22870833710.0,42497853597.45582
54,Finland,FIN,1977,3.61,0.51037139,97.41999817,8.661221468,Finland,Europe,Northern Europe,8.52818543,33499799321.0,290149181052.73706
55,Finland,FIN,1982,3.82,0.481610165,105.3099976,7.770483377,Finland,Europe,Northern Europe,8.167372534,52797582336.0,410262735887.6768
56,Finland,FIN,1987,3.3308,0.462113374,94.16000366,5.280878965,Finland,Europe,Northern Europe,7.905709314,91594751792.0,483700798042.76886
57,Finland,FIN,1992,2.4306,0.453074896,92.69999695,4.278030714,Finland,Europe,Northern Europe,7.900784661,112533000000.0,481419630338.56195
58,Finland,FIN,1997,2.45685,0.413554132,99.55000305,3.42306894,Finland,Europe,Northern Europe,7.058669031,126912000000.0,434428525313.27997
59,Finland,FIN,2002,4.151271429,0.424008931,101.9400024,2.672305807,Finland,Europe,Northern Europe,7.341015792,140404000000.0,375202424526.02795
60,Finland,FIN,2007,6.562,0.426700601,102.6699982,2.380366918,Finland,Europe,Northern Europe,7.546778914,256378000000.0,610273709703.004
61,Finland,FIN,2012,6.562,0.415425203,94.73000336,2.314499321,Finland,Europe,Northern Europe,7.519497186,258290000000.0,597812029621.09
62,Finland,FIN,2017,6.562,0.407028485,98.01000214,2.315942042,Finland,Europe,Northern Europe,7.469070808,255648000000.0,592065951153.2161
63,India,IND,1977,403.34,0.248401016,33.27000046,34.94772597,India,Asia,Southern Asia,60.40347236,121487000000.0,4245694384917.39
64,India,IND,1982,461.69,0.222940719,36.13999939,30.57047008,India,Asia,Southern Asia,60.80035248,200715000000.0,6135951902107.2
65,India,IND,1987,498.02,0.19910768,42.38999939,26.88407028,India,Asia,Southern Asia,61.06000626,279034000000.0,7501569666509.52
66,India,IND,1992,522.0799,0.178934064,52.47999954,26.66977197,India,Asia,Southern Asia,60.97995755,288208000000.0,7686441639929.76
67,India,IND,1997,577.2795,0.161455685,61.0,24.34535709,India,Asia,Southern Asia,60.87098369,415868000000.0,10124454962304.12
68,India,IND,2002,640.51948,0.146738752,61.41999817,19.5366997,India,Asia,Southern Asia,60.72938494,514938000000.0,10060189070118.6
69,India,IND,2007,715.81943,0.133553698,79.84999847,16.75011976,India,Asia,Southern Asia,60.4132262,1216740000000.0,20380540716782.402
70,India,IND,2012,647.5,0.123675496,92.80999756,16.84537707,India,Asia,Southern Asia,60.42062566,1827640000000.0,30787284948214.8
71,India,IND,2017,647.5,0.116843739,108.8799973,16.5583314,India,Asia,Southern Asia,60.43138851,2651470000000.0,43903918957158.0
72,Iraq,IRQ,1977,40.654,0.409242165,82.88999939,8.507732751,Iraq,Asia,Western Asia,21.22916524,19838130715.0,168777514402.62457
73,Iraq,IRQ,1982,40.885,0.363763199,96.54000092,10.2998891,Iraq,Asia,Western Asia,21.60642019,42382333333.0,436533333129.13336
74,Iraq,IRQ,1987,41.732,0.322936381,103.4100037,14.31079545,Iraq,Asia,Western Asia,21.675012,56774193548.0,812483870704.1378
75,Iraq,IRQ,1992,47.44,0.288000591,95.44000244,19.87057417,Iraq,Asia,Western Asia,21.83505956,553671957.7,11001779701.326954
76,Iraq,IRQ,1997,59.0326,0.20522791,111.4199982,8.456601885,Iraq,Asia,Western Asia,19.80016919,20764857056.0,175600129321.52515
77,Iraq,IRQ,2002,62.27765714,0.186507883,141.1699982,8.562671712,Iraq,Asia,Western Asia,20.21172005,32928454672.0,281955547339.80865
78,Iraq,IRQ,2007,52.9903,0.177347894,114.6200027,4.929498276,Iraq,Asia,Western Asia,20.89763816,88837055195.0,437922110428.6694
79,Iraq,IRQ,2012,43.69794286,0.135418576,132.0599976,4.124271438,Iraq,Asia,Western Asia,19.72854117,218002000000.0,899099422026.876
80,Iraq,IRQ,2017,38.538,0.133145903,79.31999969,2.976727801,Iraq,Asia,Western Asia,21.30707994,187218000000.0,557297025447.618
81,Jordan,JOR,1977,0.4846,0.134901928,14.51000023,7.634849363,Jordan,Asia,Western Asia,12.66999093,2096568479.0,16006984516.379028
82,Jordan,JOR,1982,0.5686,0.115505018,21.62000084,5.630644281,Jordan,Asia,Western Asia,12.73912058,4680567376.0,26354609927.50958
83,Jordan,JOR,1987,0.7242,0.096749473,31.79999924,5.890709705,Jordan,Asia,Western Asia,13.10063463,6755599114.0,39795273263.9292
84,Jordan,JOR,1992,0.936142857,0.065289528,48.41999817,6.84130507,Jordan,Asia,Western Asia,12.7005893,5311329067.0,36336422474.50547
85,Jordan,JOR,1997,0.825025,0.038568343,46.20999908,2.887369785,Jordan,Asia,Western Asia,12.02402539,7246188575.0,20922425947.867207
86,Jordan,JOR,2002,0.738664286,0.036671272,63.65000153,2.192168007,Jordan,Asia,Western Asia,11.61604714,9582453032.0,21006346965.330544
87,Jordan,JOR,2007,0.932,0.022429016,70.51000214,2.531503664,Jordan,Asia,Western Asia,10.91681777,17110587447.0,43315514815.27291
88,Jordan,JOR,2012,0.849,0.026823361,88.20999908,3.305118842,Jordan,Asia,Western Asia,11.76954269,31634561690.0,104555985900.03036
89,Jordan,JOR,2017,0.9036,0.019109244,95.80000305,4.762526361,Jordan,Asia,Western Asia,11.34264474,41408960845.0,197211267605.92932
90,Morocco,MAR,1977,9.42,0.400105542,25.97999954,16.38431704,Morocco,Africa,Northern Africa,61.61774591,11049896742.0,181045011480.19107
91,Morocco,MAR,1982,10.43,0.370138748,36.47999954,12.91555411,Morocco,Africa,Northern Africa,65.37530809,17692341358.0,228506392141.83987
92,Morocco,MAR,1987,10.592,0.34827103,41.41999817,11.76451577,Morocco,Africa,Northern Africa,66.47098364,21765261042.0,256057756766.7756
93,Morocco,MAR,1992,11.0416,0.347472192,46.36000061,14.04275721,Morocco,Africa,Northern Africa,68.59959668,33711069431.0,473396363308.98584
94,Morocco,MAR,1997,11.65206,0.323550285,55.08000183,14.63418013,Morocco,Africa,Northern Africa,69.22473672,39147844526.0,572896608494.7185
95,Morocco,MAR,2002,14.813,0.28525096,62.83000183,13.20052173,Morocco,Africa,Northern Africa,67.8534618,42236836821.0,557548282262.0746
96,Morocco,MAR,2007,12.163,0.258794937,68.95999908,10.86312603,Morocco,Africa,Northern Africa,67.12973336,79041294874.0,858635547790.655
97,Morocco,MAR,2012,10.573,0.242074024,92.80000305,12.3295604,Morocco,Africa,Northern Africa,68.12233923,98266306615.0,1211580362694.562
98,Morocco,MAR,2017,10.573,0.210155588,108.4400024,12.36250582,Morocco,Africa,Northern Africa,67.3739637,109683000000.0,1355956725855.06
99,Mauritius,MUS,1977,0.387466667,0.108532971,95.70999908,17.25468578,Mauritius,Africa,Sub-Saharan Africa,56.15763547,823634464.9,14211553889.427938
100,Mauritius,MUS,1982,0.456133333,0.100753536,104.1299973,13.04904051,Mauritius,Africa,Sub-Saharan Africa,56.15763547,1078408830.0,14072200509.011703
101,Mauritius,MUS,1987,0.5248,0.096517457,101.9000015,12.14185451,Mauritius,Africa,Sub-Saharan Africa,56.15763547,1880852914.0,22837042436.497543
102,Mauritius,MUS,1992,0.5856,0.088524871,101.9000015,10.01264675,Mauritius,Africa,Sub-Saharan Africa,53.69458128,3224267548.0,32283451985.61267
103,Mauritius,MUS,1997,0.613,0.078377823,108.6900024,8.30904372,Mauritius,Africa,Sub-Saharan Africa,50.24630542,4187367602.0,34793020476.72956
104,Mauritius,MUS,2002,0.686666667,0.073882159,102.7200012,5.191418623,Mauritius,Africa,Sub-Saharan Africa,49.26108374,4841310240.0,25133268139.656597
105,Mauritius,MUS,2007,0.63,0.065342078,99.19000244,4.375986928,Mauritius,Africa,Sub-Saharan Africa,45.32019704,8150138757.0,35664900662.018166
106,Mauritius,MUS,2012,0.582,0.060515239,101.9899979,3.657270622,Mauritius,Africa,Sub-Saharan Africa,42.85714286,11668685524.0,42675540764.281876
107,Mauritius,MUS,2017,0.61,0.059306681,97.62000275,3.095793754,Mauritius,Africa,Sub-Saharan Africa,42.36453202,13259351418.0,41048217301.93544
108,Pakistan,PAK,1977,153.647,0.431803707,27.72999954,29.36132703,Pakistan,Asia,Southern Asia,46.58701743,15126060606.0,444121212128.366
