,Country Name,Country Code,year,population,GDP,agriculturalGDP
0,Benin,BEN,1960,2431617.0,226195579.4,46.15772309
1,Burkina Faso,BFA,1960,4829289.0,330442817.2,38.48453334
2,Bangladesh,BGD,1960,48013505.0,4274893913.0,57.47431238
3,Brazil,BRA,1960,72179235.0,17030465539.0,15.73240027
4,Botswana,BWA,1960,502733.0,30412308.99,43.2229603
5,Chile,CHL,1960,8132988.0,4110000000.0,10.50410317
6,China,CHN,1960,667070000.0,59716467625.0,23.1752942
7,Cote d'Ivoire,CIV,1960,3503559.0,546203561.6,47.90792295
8,"Congo, Rep.",COG,1960,1018254.0,131731862.6,23.60046332
9,Costa Rica,CRI,1960,1330787.0,507513830.0,26.35203451
10,East Asia & Pacific (excluding high income),EAP,1960,894875757.0,81340099380.0,28.01441754
11,East Asia & Pacific,EAS,1960,1041673567.0,154612000000.0,24.18312476
12,Ecuador,ECU,1960,4543658.0,2069465326.0,33.65485953
13,France,FRA,1960,46621688.0,62225478001.0,10.53721655
14,Gabon,GAB,1960,500922.0,141468978.4,32.18653896
15,Ghana,GHA,1960,6635229.0,1217230038.0,40.85155351
16,Guyana,GUY,1960,571813.0,170215248.2,23.57779301
17,Honduras,HND,1960,2038636.0,335650000.0,33.81498585
18,IBRD only,IBD,1960,1919643259.0,323995000000.0,25.83594647
19,IDA & IBRD total,IBT,1960,2299245319.0,360379000000.0,28.46424961
20,India,IND,1960,450547675.0,37029883875.0,41.31283906
21,"Iran, Islamic Rep.",IRN,1960,21906909.0,4199134390.0,25.90060153
22,Kenya,KEN,1960,8120082.0,791265458.8,35.34741353
23,"Korea, Rep.",KOR,1960,25012374.0,3958190759.0,36.56047387
24,Sri Lanka,LKA,1960,9874476.0,1409873950.0,32.10419693
25,Low & middle income,LMY,1960,2264230620.0,342303000000.0,29.44290285
26,Lesotho,LSO,1960,837264.0,34579308.41,88.18461538
27,Late-demographic dividend,LTE,1960,1096903448.0,187455000000.0,20.55621318
28,Middle income,MIC,1960,2126448264.0,330056000000.0,29.19588299
29,Malawi,MWI,1960,3659980.0,162956740.9,48.36769759
30,Malaysia,MYS,1960,8156342.0,1916241997.0,43.71593249
31,Niger,NER,1960,3388774.0,449526872.6,75.32407003
32,Pakistan,PAK,1960,44988690.0,3749265015.0,43.1892013
33,Peru,PER,1960,10155011.0,2571908062.0,19.05451824
34,Philippines,PHL,1960,26269741.0,7515886651.0,23.70818864
35,Puerto Rico,PRI,1960,2358000.0,1691900000.0,9.693244282
36,South Asia,SAS,1960,572839530.0,47170699607.0,43.26097789
37,Sudan,SDN,1960,7544498.0,1307333333.0,51.42784294
38,Senegal,SEN,1960,3206757.0,1003692375.0,23.28675331
39,Singapore,SGP,1960,1646400.0,704756304.7,3.703532029
40,Somalia,SOM,1960,2755967.0,180459936.8,64.44533551
41,Suriname,SUR,1960,287870.0,99650000.0,9.533366784
42,Eswatini,SWZ,1960,336578.0,35076158.48,31.53075845
43,Chad,TCD,1960,3001604.0,313582729.4,39.72056156
44,East Asia & Pacific (IDA & IBRD countries),TEA,1960,883445587.0,81224998645.0,27.96849555
45,Togo,TGO,1960,1580508.0,121128073.1,54.88213371
46,Thailand,THA,1960,27397208.0,2760747472.0,36.44438043
47,South Asia (IDA & IBRD),TSA,1960,572839530.0,47170699607.0,43.26097789
48,Turkey,TUR,1960,27472339.0,13995067818.0,54.91923642
49,Uganda,UGA,1960,6767092.0,423008385.7,49.87486061
50,Upper middle income,UMC,1960,1136464260.0,244203000000.0,22.1846526
51,South Africa,ZAF,1960,17099836.0,7575396973.0,10.66346332
52,Zambia,ZMB,1960,3070780.0,713000000.0,11.46062913
53,Benin,BEN,1961,2465865.0,235668222.4,46.19378573
54,Burkina Faso,BFA,1961,4894580.0,350247237.1,38.30700833
55,Bangladesh,BGD,1961,49362834.0,4817580184.0,57.98823595
56,Brazil,BRA,1961,74311338.0,17275940449.0,15.07757455
57,Botswana,BWA,1961,512688.0,32902336.64,41.92589506
58,Chile,CHL,1961,8303804.0,4609727273.0,10.1022751
59,China,CHN,1961,660330000.0,50056868958.0,35.79485515
60,Cote d'Ivoire,CIV,1961,3631547.0,618245639.2,46.40683488
61,"Congo, Rep.",COG,1961,1043119.0,151675739.2,20.49180087
62,Costa Rica,CRI,1961,1381187.0,490325181.6,25.86624173
63,East Asia & Pacific (excluding high income),EAP,1961,894479503.0,71608358396.0,39.72032069
64,East Asia & Pacific,EAS,1961,1043656626.0,155148000000.0,28.90112518
65,Ecuador,ECU,1961,4674176.0,1753850417.0,34.03539833
66,France,FRA,1961,47240526.0,67461644222.0,9.079271295
67,Gabon,GAB,1961,505793.0,167637908.5,35.211844
68,Ghana,GHA,1961,6848291.0,1302674264.0,35.37634409
69,Guyana,GUY,1961,589274.0,185848451.3,23.85436284
70,Honduras,HND,1961,2096407.0,356200000.0,35.26108928
71,IBRD only,IBD,1961,1940356959.0,309474000000.0,27.83260279
72,IDA & IBRD total,IBT,1961,2329154652.0,349088000000.0,30.43051422
73,India,IND,1961,459642166.0,39232435784.0,40.38740161
