,Country Name,Country Code,year,arableLand,landUnderCerealProduction
0,Africa Eastern and Southern,AFE,1961,0.471601733,22986771.0
1,Afghanistan,AFG,1961,0.834296137,3313500.0
2,Africa Western and Central,AFW,1961,0.642041401,22506121.0
3,Angola,AGO,1961,0.482694324,657000.0
4,Albania,ALB,1961,0.260272322,347764.0
5,Arab World,ARB,1961,0.404841282,16741296.0
6,Argentina,ARG,1961,0.893344805,10287500.0
7,Australia,AUS,1961,1.371609873,8441623.0
8,Austria,AUT,1961,0.238347267,902089.0
9,Burundi,BDI,1961,0.236639675,137397.0
10,Belgium,BEL,1961,0.109647833,528292.0
11,Benin,BEN,1961,0.373094229,531800.0
12,Burkina Faso,BFA,1961,0.433949389,1777392.0
13,Bangladesh,BGD,1961,0.174321434,8639332.0
14,Bulgaria,BGR,1961,0.535306161,2521386.0
15,"Bahamas, The",BHS,1961,0.060806644,150.0
16,Belize,BLZ,1961,0.380147835,8129.0
17,Bolivia,BOL,1961,0.347014203,431159.0
18,Brazil,BRA,1961,0.317959556,11168641.0
19,Barbados,BRB,1961,0.069049448,380.0
20,Brunei Darussalam,BRN,1961,0.046750818,2836.0
21,Bhutan,BTN,1961,0.436969355,68300.0
22,Botswana,BWA,1961,0.7782511,181860.0
23,Central African Republic,CAF,1961,1.100876311,153500.0
24,Canada,CAN,1961,2.003721745,16985264.0
25,Switzerland,CHE,1961,0.072888953,180255.0
26,Chile,CHL,1961,0.438353314,1024480.0
27,China,CHN,1961,0.156583829,90552841.0
28,Cote d'Ivoire,CIV,1961,0.462612765,471000.0
29,Cameroon,CMR,1961,0.946071109,814452.0
30,"Congo, Dem. Rep.",COD,1961,0.409267347,719700.0
31,"Congo, Rep.",COG,1961,0.498504964,7000.0
32,Colombia,COL,1961,0.213184392,1158170.0
33,Comoros,COM,1961,0.33479441,10200.0
34,Cabo Verde,CPV,1961,0.185076052,20000.0
35,Costa Rica,CRI,1961,0.206344253,103000.0
36,Caribbean small states,CSS,1961,0.164012979,158392.0
37,Cuba,CUB,1961,0.198869843,275000.0
38,Cyprus,CYP,1961,0.570782197,141673.0
39,Germany,DEU,1961,0.166535764,7138919.0
40,Dominica,DMA,1961,0.114686415,110.0
41,Denmark,DNK,1961,0.60867097,1536555.0
42,Dominican Republic,DOM,1961,0.211374161,93320.0
43,Algeria,DZA,1961,0.570907567,2708623.0
44,East Asia & Pacific (excluding high income),EAP,1961,0.178255133,126223188.0
45,Early-demographic dividend,EAR,1961,0.375922529,196708416.0
46,East Asia & Pacific,EAS,1961,0.177612832,142576072.0
47,Ecuador,ECU,1961,0.364770176,504534.0
48,"Egypt, Arab Rep.",EGY,1961,0.091316896,1723824.0
49,Euro area,EMU,1961,0.291886788,36821783.0
50,Spain,ESP,1961,0.528509967,6929785.0
51,Ethiopia,ETH,1961,0.485197228,5882000.0
52,European Union,EUU,1961,0.347734687,61662409.0
53,Fragile and conflict affected situations,FCS,1961,0.555698946,42535453.0
54,Finland,FIN,1961,0.597331767,1029808.0
55,Fiji,FJI,1961,0.218542201,13060.0
56,France,FRA,1961,0.415025015,9140300.0
57,Gabon,GAB,1961,0.177938406,5850.0
58,United Kingdom,GBR,1961,0.135890152,3060601.0
59,Ghana,GHA,1961,0.248237115,534518.0
60,Guinea,GIN,1961,0.99097202,343985.0
61,"Gambia, The",GMB,1961,0.324888034,83994.0
62,Guinea-Bissau,GNB,1961,0.377356067,97000.0
63,Greece,GRC,1961,0.332696281,1772952.0
64,Grenada,GRD,1961,0.05475012,630.0
65,Guatemala,GTM,1961,0.258707202,694998.0
66,Guam,GUM,1961,0.029383677,50.0
67,Guyana,GUY,1961,0.593951201,107461.0
68,High income,HIC,1961,0.486709471,156139264.0
69,"Hong Kong SAR, China",HKG,1961,0.004103406,14821.0
70,Honduras,HND,1961,0.617723562,302521.0
71,Heavily indebted poor countries (HIPC),HPC,1961,0.560507807,29818331.0
72,Haiti,HTI,1961,0.228313051,452000.0
73,Hungary,HUN,1961,0.51788152,3324307.0
74,IBRD only,IBD,1961,0.285412064,302306707.0
75,IDA & IBRD total,IBT,1961,0.321123219,374190335.0
76,IDA total,IDA,1961,0.491170597,71883628.0
77,IDA blend,IDB,1961,0.571885453,21842721.0
78,Indonesia,IDN,1961,0.199781581,9319000.0
79,IDA only,IDX,1961,0.453976073,50040907.0
80,India,IND,1961,0.338972382,92239016.0
81,Ireland,IRL,1961,0.562951423,435435.0
82,"Iran, Islamic Rep.",IRN,1961,0.666359109,5063000.0
83,Iraq,IRQ,1961,0.615355885,2039339.0
84,Israel,ISR,1961,0.145537757,154875.0
