,Country Name,Country Code,year,totalNaturalResourcesRents,grossSavings,imports,exports
0,Canada,CAN,1970,2.213059611,21.10273085,2.347323899,10.16921379
1,Colombia,COL,1970,1.205192591,17.04502207,4.367647111,6.186487132
2,United Kingdom,GBR,1970,0.075308741,23.79994047,8.943203693,2.33408215
3,Italy,ITA,1970,0.063130838,27.07711134,10.18429579,1.585154382
4,North America,NAC,1970,0.874844063,21.52052262,4.224982274,6.028489057
5,Netherlands,NLD,1970,0.065802751,31.10207717,4.322092405,4.613097382
6,Sweden,SWE,1970,0.806038115,27.58607807,2.4770105,14.67809021
7,United States,USA,1970,0.765318627,21.55952233,4.573803412,4.898457439
8,"Venezuela, RB",VEN,1970,7.737706531,24.40365209,3.311530446,0.020179638
9,Canada,CAN,1971,1.907108263,21.15135782,2.724748637,10.55625799
10,Colombia,COL,1971,1.448380182,13.55889371,4.445600414,5.924927144
11,Germany,DEU,1971,0.242535864,26.14331578,6.847335908,1.531640536
12,United Kingdom,GBR,1971,0.087655261,22.79245576,7.562786233,2.053463428
13,Italy,ITA,1971,0.050822674,25.49382626,8.488658451,1.494960667
14,Malta,MLT,1971,0.0,23.60156908,2.442828086,4.727329146
15,North America,NAC,1971,0.841612279,21.45030974,4.15181652,6.12646526
16,Netherlands,NLD,1971,0.098019148,30.76043097,3.964513001,4.279375656
17,Sweden,SWE,1971,0.749416006,26.880495,2.400538994,14.07939179
18,United States,USA,1971,0.750861881,21.47821608,4.418209356,4.917634589
19,"Venezuela, RB",VEN,1971,9.280466346,23.56679092,2.568310677,0.018232018
20,Canada,CAN,1972,1.900603694,21.20652594,2.379322633,11.3302972
21,Colombia,COL,1972,1.47597707,16.70522468,5.103698247,7.941348874
22,Germany,DEU,1972,0.198575806,24.97912064,5.75501061,1.443470105
23,Dominican Republic,DOM,1972,1.935342143,19.87361155,0.994669756,0.076302836
24,United Kingdom,GBR,1972,0.075418702,21.43869984,7.527873732,2.363190102
25,Italy,ITA,1972,0.05285564,24.78030744,9.052909689,1.481439137
26,Malta,MLT,1972,0.0,20.11188542,1.998756324,1.538243247
27,North America,NAC,1972,0.848033302,22.03177527,4.165325858,6.479234335
28,Netherlands,NLD,1972,0.139448138,31.12223388,4.001360606,4.382154199
29,Singapore,SGP,1972,0.003184101,26.29624144,7.657532304,17.51631242
30,Sweden,SWE,1972,0.627217956,26.35226234,2.378902252,13.0584756
31,United States,USA,1972,0.755029825,22.10881003,4.49834839,5.15544107
32,"Venezuela, RB",VEN,1972,8.926140672,23.11469546,2.612304314,0.029991383
33,Canada,CAN,1973,3.138543907,23.30275259,2.483234639,11.88321331
34,Colombia,COL,1973,1.931996799,18.81620747,5.441404938,5.476960312
35,Germany,DEU,1973,0.222048177,24.70176697,5.570256841,1.607445575
36,Dominican Republic,DOM,1973,2.676666238,19.24884069,2.832023709,0.111392167
37,United Kingdom,GBR,1973,0.087936348,22.25593023,7.95383175,2.544556644
38,Italy,ITA,1973,0.07676931,24.98015561,10.14316532,1.598346234
39,Malta,MLT,1973,0.0,16.41183752,2.400406845,1.060019529
40,North America,NAC,1973,1.170483165,23.74461736,4.384145303,6.967309616
41,Netherlands,NLD,1973,0.171983667,32.20656747,4.244577595,4.27070006
42,Singapore,SGP,1973,0.00750488,25.35837106,10.86309182,23.10887431
43,Sweden,SWE,1973,0.957214944,26.96593331,2.540848548,14.63716037
44,United States,USA,1973,0.989252694,23.78586422,4.738631747,5.625827877
45,"Venezuela, RB",VEN,1973,12.38182852,25.95620657,3.004598775,0.081218685
46,Benin,BEN,1974,7.300531866,11.10189165,1.322152196,33.68997465
47,Canada,CAN,1974,5.841458767,24.20514589,2.188831062,11.06526598
48,Colombia,COL,1974,5.0122779,19.27650708,4.831510438,5.310394983
49,Germany,DEU,1974,0.36634958,23.54198477,4.602444983,1.447854996
50,Dominican Republic,DOM,1974,2.675582684,15.00874695,3.34384853,0.103321178
51,United Kingdom,GBR,1974,0.220748343,19.36838585,6.68994861,2.357788213
52,Honduras,HND,1974,8.302972159,16.09956501,1.041611421,18.40888391
53,Italy,ITA,1974,0.130960238,25.7350182,7.941612309,1.525710465
54,Madagascar,MDG,1974,1.474414554,5.5050071,1.823644181,6.775989781
55,Malta,MLT,1974,0.0,17.55549146,2.150002005,0.861829394
56,Malaysia,MYS,1974,24.77697536,23.95659599,2.017571066,43.57731007
57,North America,NAC,1974,3.495005766,22.81334354,3.337600063,6.395982418
58,Niger,NER,1974,2.897030371,5.399841753,2.971321087,3.832026615
59,Netherlands,NLD,1974,0.735001257,30.51672412,3.915269802,3.722491558
60,Saudi Arabia,SAU,1974,70.23043689,67.27726626,1.686515607,0.018800848
61,Senegal,SEN,1974,5.069599545,21.02824253,2.269287672,3.870464295
62,Singapore,SGP,1974,0.005593425,25.83739513,7.460772419,17.07783997
