Country Name,Indicator Name,Year,Value
"Iran, Islamic Rep.",Agricultural raw materials imports (% of merchandise imports),1990,0
"Iran, Islamic Rep.",Agricultural raw materials exports (% of merchandise exports),1990,0
"Iran, Islamic Rep.",Gross savings (% of GDP),1990,23.23893804
"Iran, Islamic Rep.",Total natural resources rents (% of GDP),1990,21.86510078
Afghanistan,Agricultural raw materials imports (% of merchandise imports),1990,0
Afghanistan,Agricultural raw materials exports (% of merchandise exports),1990,0
Afghanistan,Gross savings (% of GDP),1990,0
Afghanistan,Total natural resources rents (% of GDP),1990,0
Albania,Agricultural raw materials imports (% of merchandise imports),1990,0
Albania,Agricultural raw materials exports (% of merchandise exports),1990,0
Albania,Gross savings (% of GDP),1990,18.77775792
Albania,Total natural resources rents (% of GDP),1990,11.0420086
Algeria,Agricultural raw materials imports (% of merchandise imports),1990,0
Algeria,Agricultural raw materials exports (% of merchandise exports),1990,0
Algeria,Gross savings (% of GDP),1990,23.97768764
Algeria,Total natural resources rents (% of GDP),1990,17.7051867
American Samoa,Agricultural raw materials imports (% of merchandise imports),1990,0
American Samoa,Agricultural raw materials exports (% of merchandise exports),1990,0
American Samoa,Gross savings (% of GDP),1990,0
American Samoa,Total natural resources rents (% of GDP),1990,0
Andorra,Agricultural raw materials imports (% of merchandise imports),1990,0
Andorra,Agricultural raw materials exports (% of merchandise exports),1990,0
Andorra,Gross savings (% of GDP),1990,0
Andorra,Total natural resources rents (% of GDP),1990,0
Angola,Agricultural raw materials imports (% of merchandise imports),1990,0
Angola,Agricultural raw materials exports (% of merchandise exports),1990,0.001866851
Angola,Gross savings (% of GDP),1990,0
Angola,Total natural resources rents (% of GDP),1990,28.95861914
Antigua and Barbuda,Agricultural raw materials imports (% of merchandise imports),1990,0
Antigua and Barbuda,Agricultural raw materials exports (% of merchandise exports),1990,0
Antigua and Barbuda,Gross savings (% of GDP),1990,0
Antigua and Barbuda,Total natural resources rents (% of GDP),1990,0
Argentina,Agricultural raw materials imports (% of merchandise imports),1990,0
Argentina,Agricultural raw materials exports (% of merchandise exports),1990,0
Argentina,Gross savings (% of GDP),1990,16.04337666
Argentina,Total natural resources rents (% of GDP),1990,2.587266694
Armenia,Agricultural raw materials imports (% of merchandise imports),1990,0
Armenia,Agricultural raw materials exports (% of merchandise exports),1990,0
Armenia,Gross savings (% of GDP),1990,0
Armenia,Total natural resources rents (% of GDP),1990,0
Aruba,Agricultural raw materials imports (% of merchandise imports),1990,0
Aruba,Agricultural raw materials exports (% of merchandise exports),1990,0
Aruba,Gross savings (% of GDP),1990,0
Aruba,Total natural resources rents (% of GDP),1990,0.001552095
Australia,Agricultural raw materials imports (% of merchandise imports),1990,2.049729949
Australia,Agricultural raw materials exports (% of merchandise exports),1990,10.5178903
Australia,Gross savings (% of GDP),1990,24.30545998
Australia,Total natural resources rents (% of GDP),1990,3.484548981
Austria,Agricultural raw materials imports (% of merchandise imports),1990,3.14612637
Austria,Agricultural raw materials exports (% of merchandise exports),1990,4.417079332
Austria,Gross savings (% of GDP),1990,0
Austria,Total natural resources rents (% of GDP),1990,0.255408692
Azerbaijan,Agricultural raw materials imports (% of merchandise imports),1990,0
Azerbaijan,Agricultural raw materials exports (% of merchandise exports),1990,0
Azerbaijan,Gross savings (% of GDP),1990,0
Azerbaijan,Total natural resources rents (% of GDP),1990,17.87660779
"Bahamas, The",Agricultural raw materials imports (% of merchandise imports),1990,0
"Bahamas, The",Agricultural raw materials exports (% of merchandise exports),1990,0
"Bahamas, The",Gross savings (% of GDP),1990,19.03411244
"Bahamas, The",Total natural resources rents (% of GDP),1990,0.117517923
Bahrain,Agricultural raw materials imports (% of merchandise imports),1990,0
Bahrain,Agricultural raw materials exports (% of merchandise exports),1990,0
Bahrain,Gross savings (% of GDP),1990,36.17957746
Bahrain,Total natural resources rents (% of GDP),1990,10.38858011
Bangladesh,Agricultural raw materials imports (% of merchandise imports),1990,5.374359471
Bangladesh,Agricultural raw materials exports (% of merchandise exports),1990,6.811230596
Bangladesh,Gross savings (% of GDP),1990,23.02441179
Bangladesh,Total natural resources rents (% of GDP),1990,0.537215496
