Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.737146652,0.548675386,0.992986356,1.171995547,1.248594021,0.316903458,1.095953872,1.006769112,0.243534905,0.025964463,0.158576853,0.097867573,0.031729305,0.046919053,0.055358095,0.092621379,0.08518762,0.079260797,0.075947422,0.097892966,0.069198209,0.102735794
Africa Eastern and Southern,AFE,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,7.939711617,,,,6.387101123,5.958820297,3.89124892,3.801952333,,,,,,,,,,,,,,,,6.594104158,,5.81812948,5.038409134,4.766147436,4.634601631,4.808925072,4.626173673,4.031004792,3.649128803,2.537563477,3.511928344,2.851582881,2.165606314,2.28483444,2.31970595,2.060577001,1.650935436,2.030829282,2.16618145,2.166799897,2.039493821,2.01773727,2.465059923,
Afghanistan,AFG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,53.75585242,61.10060501,54.43718347,45.76089561,51.71498182,46.35572631,38.09208735,38.05079936,35.82400387,45.65635022,33.93794176,26.89305439,31.47572668,33.67265309,39.39018431,36.83645012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.033139734,7.559672801,10.76704582,12.8790088,0.236604474,0.036992232,0.047523022,14.79906667,16.35910938,17.06363394,16.69459947,21.03506033,,
Africa Western and Central,AFW,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,20.2033937,20.5236476,20.29061948,18.01630882,18.58431048,17.14527968,17.53343798,15.1674991,16.35147669,13.93149574,13.64663213,14.53370745,11.31221068,8.404152693,8.17164162,8.104418189,7.023117294,7.438785852,,5.888681859,,6.70216345,,,,,,,,,,,,,9.70460191,9.023018334,8.291281879,8.080022522,7.305373778,6.358575412,5.915997132,6.875580246,,,4.22240834,5.910987073,5.522895597,4.47622297,4.224082799,7.80575734,7.68940723,5.199305736,3.746244069,3.371417681,4.586315677,4.183510184,4.178160167,3.996636679,,
Angola,AGO,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,13.66435649,,,,,,,9.381065663,8.225802128,9.81314328,6.974652244,8.184509483,7.14292122,,,,0.416865099,0.486946665,0.170063439,0.164998933,,,,,,,,,0.001866851,,,,,,,,,,,,,,,,,0.000749818,,0.000464839,0.000379226,,,0.00197436,0.00844074,0.033736186,0.233867793,0.26274384,0.345211111,0.056132563,,
Albania,ALB,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.026216679,14.05898771,8.756114179,4.623562122,5.970691794,5.54071927,6.516126591,5.143025786,4.4909842,13.94427202,13.11936084,3.384378147,7.650853346,2.987539829,2.42005371,2.602337127,2.485838813,2.336270328,1.272659032,2.305902254,2.404998173,0.489922364,0.325400218,0.492667264,0.545513182,
Andorra,AND,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565721415,1.070689988,0.717748425,0.939972999,0.941968951,1.33411376,0.75318711,0.787928812,0.685623922,0.605767196,0.509891745,0.481631569,0.640998763,0.798033946,0.890579136,1.636388526,1.807257472,1.72314595,1.47190714,1.397357126,1.58693664,1.741742299,1.64994524,1.520251919,,,
Arab World,ARB,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,1.258074315,1.219774792,,,,,,,,,,,,0.217551375,0.24676142,0.202364656,,,,,,0.40048171,0.275822796,0.295344987,0.359318741,0.331269649,0.310156012,0.216185306,0.14272577,0.129930004,0.110469386,0.140667435,0.171975332,0.151329625,0.142431944,0.140725201,0.134127114,0.160794237,0.156174684,0.162947185,0.159547822,0.153565646,0.164868162,
United Arab Emirates,ARE,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,0.177922972,0.179252658,,,,0.130726704,,,,,,,,0.400768642,0.472878984,0.239384106,,,,,,0.075872318,0.03507284,0.06452384,0.076749336,0.055447139,0.043872546,0.044647284,0.037673176,0.049264914,0.033956562,0.0378394,0.045415983,0.06273946,0.050860357,0.058132026,0.070113812,0.075464734,0.085047459,0.103699913,0.099312164,0.051903013,0.045548199,
Argentina,ARG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,23.08823199,20.45927004,14.51683693,11.82453702,14.70220247,14.04030523,13.55351625,11.58676976,10.87748625,7.135515341,7.137275673,7.092485961,4.252191211,5.923817945,6.070027881,6.549568208,7.000759807,4.828868404,6.230540407,4.960417928,4.482453602,3.092859901,3.65363715,3.518863262,2.970980758,3.538938236,,,,,2.774877345,2.135536899,3.353189497,4.349713682,3.871601202,2.885476462,2.143411021,2.123533773,1.757592616,1.612160319,1.550192497,1.516745387,1.629307158,1.362289456,1.273291427,1.238653995,0.97604638,1.062178649,1.190645507,1.250438669,0.930824975,0.90649222,1.050369034,0.987528543,1.064504073,1.105947009,0.997860687,0.881347105,0.87591661,
Armenia,ARM,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.610387531,,3.732436419,4.898266077,6.816144596,1.464508208,0.840332828,1.605086185,0.942920415,2.917158056,2.980832408,1.519981784,0.878378231,1.085101238,0.051371551,0.153805373,0.239583209,0.320868137,0.572657407,0.540729936,0.556840163,0.448222734,0.342323036,0.324368741,0.304393489
American Samoa,ASM,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,0.94096693,0.624374203,1.591971495,,12.25564028,5.926331172,,,0.338660502,,,,,,,,,,,,,,,,,,0.024076644,1.370528492,,,,,0.116769555,,2.539421238,,0,0,2.411467628,0.019184154,4.21995274,0.211223333,3.797655775,2.765440839,1.957664973,0,0.043236901,,
