Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94462765,2.513891517,2.516781672,2.677284167,2.773688286,0.378770414,2.821705809,2.645377463,2.540628588,0.655209723,0.830182228,0.827502401,0.256387543,0.30368686,0.398227879,0.496427303,0.33555021,0.297863276,0.310804641,0.349028441,0.34518852,0.353604049
Africa Eastern and Southern,AFE,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,2.875816173,3.105340529,2.73081691,,,,,,,1.946167856,,,,,,,,,,2.175274056,2.092641508,1.908765026,1.781657792,1.698948405,1.612504428,1.444570894,1.485252524,1.365051685,1.304564064,1.126490033,1.271199797,1.045742006,0.930137272,0.908917117,0.945633992,0.913636326,0.880163553,0.903474341,0.93205902,1.001373736,1.075163356,1.100754995,1.10677302,1.104998668,1.156267695,
Afghanistan,AFG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,0.966616617,1.394437964,1.498233701,1.080155565,0.672908592,0.827609502,1.035163115,1.464899064,1.46033227,0.982216089,1.763666704,3.473725427,3.11281987,1.545044416,1.752993731,1.311936217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002370971,,,,,,,,,1.871025292,1.821348719,1.769459716,,
Africa Western and Central,AFW,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,1.042836167,1.186467759,1.087863215,1.249615976,1.254678912,1.214233407,1.396179469,1.251752753,1.304461786,1.292328214,1.302483594,1.264966835,1.69852565,1.292085265,0.770369672,0.754680593,0.688139514,0.648761614,,0.754137165,,1.108275696,,,,,,,,,,,,,1.266430794,1.240575535,1.642268923,1.746455107,1.419083216,1.989715797,1.389483102,1.064115152,,,1.156190842,1.018357942,1.139014682,1.12833546,0.942754681,2.348054234,0.905435636,1.68329654,0.731166312,0.830269072,0.903036069,0.892111252,0.891757242,1.214387173,,
Angola,AGO,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,1.695005198,,,,,,,0.909028468,0.940165086,0.994832919,1.139966444,1.359116957,1.539489405,,,,,,,,,,,0.806703614,,,,,,,,,,,,,,,,,,,,,,0.685799999,,0.68773852,0.653942162,0.639497491,0.668341918,0.538515551,0.889125894,0.689691256,0.5528876,1.061292278,0.996677577,0.936209521,,
Albania,ALB,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929734713,1.185793337,1.463221696,3.764101789,0.937486657,0.86458999,0.965784257,1.000180619,1.071021385,1.108976341,1.190219206,0.933264645,0.839775847,0.997295222,1.003346441,0.952701238,0.908226295,0.966432041,0.644994495,0.862938518,0.980008778,0.9041165,0.682219683,0.875030254,0.953795395,
Andorra,AND,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.655496277,0.599455,0.532177466,0.522128313,0.559174146,0.484753534,0.459556402,0.410149897,0.41366399,0.400098915,,0.370718663,0.396528377,0.430968619,0.426937344,0.38217772,0.404773502,0.39037068,0.406361885,0.43299545,0.395745616,0.399784128,0.354954697,0.394202735,,,
Arab World,ARB,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,1.766598263,1.74638617,2.179040018,1.76273533,1.651007987,1.782039737,,,,,,,,,0.941902049,1.252008885,,,,,,1.403219596,1.387908322,1.346493134,1.261401617,1.299573543,1.27159099,1.192564119,1.14182671,1.03233445,0.932304136,0.978697946,1.002748022,0.955795285,0.960275536,0.844753967,0.864372633,0.868360772,0.832480069,0.804473592,0.858899446,0.84428465,0.871051031,
United Arab Emirates,ARE,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,0.965693887,0.733511669,1.374538592,0.925815107,0.772242262,0.904131775,,,,,,,,0.262263105,0.285241113,0.21820776,,,,,,0.5898677,0.76224308,0.73142982,0.539355042,0.504155404,0.542847344,0.532457671,0.515499553,0.505569284,0.413460703,0.29094228,0.307017857,0.300134234,0.430918221,0.25111093,0.277148014,0.269038543,0.269756565,0.310259911,0.498151882,0.431915823,0.457566225,
Argentina,ARG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,6.146947043,7.568269978,10.81301918,12.6011795,11.41908349,9.625900511,10.96443074,9.740490059,8.814455094,8.684605052,7.226285874,7.201007735,7.610883961,6.537830316,5.255708634,4.1672438,4.489653148,4.688576372,3.71064837,3.407462647,4.763150816,5.304623012,5.40075121,3.474249547,4.751420559,4.218503617,,,,,1.906213515,1.922137356,1.61563551,2.033745557,1.91340954,1.545739334,1.498158665,1.505998698,1.487772691,1.514687377,2.408418734,2.492596522,1.795036083,1.509072561,1.482690713,1.275760137,1.089470727,1.20286603,1.116271176,1.070346018,1.104394712,0.936071192,0.965200436,0.999527343,0.929774289,0.880018001,0.891536699,1.045669656,1.07712906,
